Num	GENRE              AGE	TAILLE	POIDS
1	F                   68	113,0  	20,0  
2	M                   74	116,0  	17,5  
3	M                   69	120,0  	23,0  
4	M                   72	121,0  	25,0  
5	M                   73	114,0  	17,0  
6	M                   65	115,0  	20,0  
7	M                   66	110,0  	17,2  
8	F                   63	104,0  	15,0  
9	M                   74	128,0  	34,0  
10	M                   70	118,0  	24,0  
11	F                   68	111,0  	18,0  
12	M                   70	117,0  	20,0  
13	F                   62	108,0  	17,0  
14	M                   75	125,0  	21,0  
15	F                   70	123,0  	24,0  
16	M                   76	112,0  	18,0  
17	F                   76	118,0  	19,0  
18	F                   75	119,0  	22,5  
19	M                   75	114,0  	19,0  
20	F                   75	108,0  	20,0  
21	F                   67	120,0  	22,0  
22	M                   71	117,0  	20,0  
23	M                   67	114,0  	19,0  
24	M                   70	115,0  	22,0  
25	F                   49	112,0  	19,5  
26	F                   66	107,0  	18,0  
27	F                   68	115,0  	23,0  
28	F                   73	121,0  	22,0  
29	F                   67	112,0  	19,0  
30	M                   74	111,0  	18,0  
31	F                   74	120,0  	24,0  
32	F                   73	122,0  	20,5  
33	F                   70	115,0  	21,0  
34	F                   71	115,0  	18,5  
35	M                   67	113,0  	21,0  
36	M                   76	118,0  	21,0  
37	F                   75	119,0  	21,0  
38	F                   68	107,0  	16,5  
39	F                   70	107,0  	15,0  
40	F                   68	116,0  	20,0  
41	F                   68	114,0  	20,0  
42	F                   69	123,0  	23,0  
43	F                   67	117,0  	19,0  
44	M                   69	109,0  	18,0  
45	M                   72	112,0  	19,0  
46	M                   74	122,0  	23,5  
47	M                   67	109,0  	15,0  
48	M                   70	112,0  	18,0  
49	M                   66	108,0  	16,0  
50	M                   74	108,0  	17,0  
51	M                   60	112,0  	20,0  
52	F                   61	105,0  	15,0  
53	F                   74	113,0  	19,5  
54	F                   65	112,0  	19,0  
55	M                   70	112,0  	19,0  
56	M                   64	110,0  	18,0  
57	F                   66	112,0  	19,0  
58	F                   62	119,0  	19,0  
59	F                   69	108,0  	18,0  
60	F                   62	112,0  	20,0  
61	F                   67	105,0  	17,0  
62	F                   64	107,0  	17,0  
63	M                   69	107,0  	17,0  
64	M                   72	121,0  	22,0  
65	M                   68	109,0  	19,0  
66	M                   71	114,0  	21,0  
67	F                   68	105,0  	17,0  
68	M                   64	115,0  	22,0  
69	M                   65	106,0  	18,0  
70	F                   73	117,0  	19,0  
71	M                   65	111,0  	19,0  
72	M                   65	107,5  	18,0  
73	F                   68	109,0  	18,0  
74	F                   72	123,5  	22,0  
75	F                   66	113,0  	24,5  
76	M                   67	111,5  	21,5  
77	M                   72	117,0  	22,0  
78	F                   66	113,0  	18,5  
79	F                   69	111,0  	19,0  
80	M                   65	112,0  	21,0  
81	F                   68	117,0  	21,0  
82	F                   61	110,0  	18,0  
83	M                   69	114,0  	19,0  
84	F                   70	111,0  	16,0  
85	M                   68	108,0  	16,0  
86	M                   68	110,0  	21,0  
87	F                   67	111,5  	19,0  
88	M                   67	111,0  	20,0  
89	F                   69	112,5  	23,5  
90	F                   72	108,0  	19,5  
91	M                   66	106,0  	18,5  
92	M                   71	107,0  	18,0  
93	M                   72	118,0  	24,5  
94	F                   70	114,0  	21,0  
95	F                   68	112,0  	17,0  
96	M                   70	110,0  	21,0  
97	F                   72	108,0  	18,0  
98	F                   67	115,0  	20,0  
99	M                   61	105,0  	20,0  
100	M                   64	109,0  	18,0  
101	M                   61	107,0  	16,5  
102	F                   63	106,0  	17,0  
103	F                   63	108,0  	19,0  
104	F                   62	110,0  	19,5  
105	F                   63	108,0  	20,5  
106	F                   62	110,5  	21,5  
107	F                   63	113,0  	22,0  
108	M                   70	113,0  	20,0  
109	M                   70	111,0  	19,0  
110	M                   68	115,0  	21,0  
111	F                   69	115,0  	20,0  
112	F                   66	112,0  	19,0  
113	F                   72	126,0  	22,0  
114	F                   73	117,5  	19,5  
115	F                   68	123,5  	26,0  
116	F                   70	114,0  	19,0  
117	F                   70	116,0  	22,0  
118	F                   65	101,0  	15,5  
119	F                   64	111,5  	22,0  
120	F                   67	114,0  	18,0  
121	F                   67	112,0  	21,0  
122	M                   71	109,0  	19,0  
123	M                   71	122,0  	29,0  
124	M                   68	114,0  	21,0  
125	M                   68	119,5  	24,5  
126	M                   67	110,5  	18,0  
127	M                   74	113,0  	21,0  
128	M                   75	113,0  	18,0  
129	M                   69	113,0  	22,0  
130	M                   73	114,0  	20,0  
131	M                   69	127,0  	32,0  
132	M                   70	114,0  	23,0  
133	M                   73	119,5  	25,0  
134	M                   75	117,0  	24,0  
135	M                   65	113,0  	20,5  
136	M                   67	111,0  	19,0  
137	F                   66	101,0  	13,0  
138	F                   73	119,5  	27,0  
139	F                   65	106,0  	15,0  
140	F                   71	110,0  	18,0  
141	F                   74	118,0  	23,0  
142	F                   75	113,0  	20,0  
143	F                   67	108,0  	18,0  
144	F                   64	109,0  	17,0  
145	F                   65	109,0  	18,0  
146	F                   72	111,0  	19,0  
147	F                   68	115,0  	18,0  
148	F                   71	111,0  	19,5  
149	F                   74	122,0  	24,0  
150	F                   69	113,0  	19,0  
151	M                   67	113,5  	22,0  
152	M                   68	119,0  	25,0  
153	M                   69	114,0  	19,0  
154	M                   68	111,0  	21,0  
155	M                   66	118,0  	25,0  
156	M                   70	115,0  	21,0  
157	M                   71	122,0  	23,0  
158	M                   68	115,0  	24,0  
159	M                   64	110,5  	20,0  
160	M                   71	115,0  	18,0  
161	M                   74	112,0  	21,0  
162	M                   73	114,5  	20,0  
163	M                   64	117,0  	20,0  
164	M                   66	112,5  	23,0  
165	M                   66	108,0  	19,0  
166	M                   67	108,0  	19,0  
167	M                   64	118,0  	21,0  
168	M                   64	111,0  	17,0  
169	F                   71	115,0  	20,5  
170	M                   70	115,5  	23,0  
171	M                   65	108,0  	19,0  
172	M                   69	111,0  	19,0  
173	M                   69	108,0  	19,0  
174	M                   66	112,0  	20,0  
175	M                   62	113,0  	23,0  
176	M                   62	101,0  	15,0  
177	M                   67	102,0  	14,0  
178	M                   62	109,5  	20,0  
179	M                   69	115,0  	25,0  
180	M                   71	112,0  	19,0  
181	M                   71	118,0  	23,0  
182	M                   73	107,0  	17,0  
183	M                   65	114,5  	19,5  
184	F                   64	107,5  	18,0  
185	F                   72	111,0  	20,0  
186	F                   72	110,5  	22,0  
187	F                   73	119,0  	27,0  
188	F                   68	109,5  	18,0  
189	F                   68	109,5  	22,0  
190	F                   68	123,0  	28,0  
191	F                   68	110,0  	17,0  
192	F                   70	114,0  	23,0  
193	F                   69	126,5  	25,0  
194	F                   72	106,0  	17,0  
195	F                   73	108,0  	19,5  
196	M                   76	119,5  	25,0  
197	M                   74	113,0  	23,0  
198	M                   73	113,0  	26,0  
199	M                   74	122,5  	28,0  
200	M                   71	118,0  	22,5  
201	M                   73	114,5  	20,5  
202	M                   69	113,5  	21,5  
203	M                   72	108,5  	19,0  
204	M                   76	114,0  	22,0  
205	F                   73	116,5  	23,0  
206	F                   75	118,0  	24,0  
207	F                   76	117,0  	20,5  
208	F                   66	105,5  	17,5  
209	F                   65	109,0  	18,0  
210	F                   74	110,0  	21,0  
211	F                   76	117,5  	21,0  
212	M                   66	107,5  	18,0  
213	F                   70	106,0  	20,0  
214	M                   72	112,0  	20,0  
215	M                   68	117,0  	23,0  
216	M                   68	103,0  	16,0  
217	M                   74	113,0  	19,5  
218	F                   71	113,5  	21,0  
219	M                   75	109,5  	22,0  
220	M                   74	111,5  	20,0  
221	M                   74	115,5  	20,5  
222	M                   77	119,0  	23,0  
223	M                   75	130,0  	29,0  
224	M                   74	117,0  	21,0  
225	M                   73	107,5  	17,0  
226	M                   75	115,0  	21,0  
227	M                   72	121,5  	22,0  
228	M                   76	112,0  	21,0  
229	M                   67	115,5  	21,0  
230	M                   74	122,5  	29,5  
231	M                   73	117,5  	27,0  
232	M                   74	119,0  	22,0  
233	M                   69	113,0  	18,0  
234	M                   76	120,0  	19,5  
235	M                   77	115,5  	21,0  
236	M                   72	118,0  	20,0  
237	M                   66	111,5  	19,0  
238	M                   68	116,0  	21,0  
239	M                   70	110,0  	19,0  
240	F                   67	121,0  	25,0  
241	F                   75	113,0  	19,0  
242	F                   77	122,0  	21,0  
243	F                   67	111,0  	22,0  
244	F                   69	117,0  	19,0  
245	F                   70	115,0  	28,0  
246	F                   67	118,0  	30,0  
247	F                   77	112,0  	20,5  
248	F                   74	116,0  	24,5  
249	F                   67	120,0  	25,0  
250	F                   69	122,0  	24,0  
251	F                   74	118,0  	21,0  
252	F                   68	105,0  	19,0  
253	F                   68	126,0  	28,0  
254	F                   67	111,0  	18,5  
255	M                   72	109,0  	17,0  
256	M                   70	126,0  	27,0  
257	M                   66	109,5  	19,0  
258	M                   67	108,0  	17,0  
259	M                   74	119,5  	21,5  
260	M                   66	114,5  	20,0  
261	M                   72	109,0  	18,0  
262	M                   66	114,0  	21,0  
263	M                   65	112,0  	18,0  
264	M                   70	118,5  	21,0  
265	M                   74	115,5  	20,0  
266	M                   67	118,5  	21,0  
267	F                   69	116,0  	22,0  
268	F                   67	114,0  	24,0  
269	F                   69	113,0  	23,0  
270	F                   74	117,0  	26,0  
271	F                   70	115,0  	19,5  
272	F                   67	118,5  	22,5  
273	F                   70	119,5  	32,0  
274	F                   67	112,5  	17,5  
275	F                   67	110,0  	19,0  
276	F                   70	110,5  	21,0  
277	F                   75	116,0  	21,5  
278	F                   67	110,5  	19,0  
279	M                   66	109,0  	19,0  
280	M                   68	114,0  	24,0  
281	F                   72	114,0  	17,0  
282	F                   72	116,0  	19,0  
283	F                   65	114,0  	21,0  
284	F                   69	117,0  	21,0  
285	M                   68	116,0  	21,0  
286	F                   66	109,0  	17,0  
287	F                   68	113,0  	19,0  
288	F                   68	117,0  	22,0  
289	F                   66	109,0  	18,0  
290	M                   71	119,0  	21,0  
291	F                   69	115,0  	20,0  
292	M                   66	119,0  	23,0  
293	F                   72	120,0  	26,0  
294	F                   65	113,0  	19,0  
295	F                   68	105,0  	21,0  
296	F                   69	108,0  	18,0  
297	M                   71	121,0  	22,0  
298	F                   67	113,0  	17,0  
299	F                   73	117,0  	19,0  
300	M                   66	113,0  	21,0  
301	F                   74	121,0  	26,0  
302	F                   66	99,0  	13,0  
303	F                   76	117,0  	21,0  
304	F                   68	112,0  	21,0  
305	M                   76	119,0  	20,0  
306	F                   73	111,0  	21,0  
307	F                   76	115,0  	18,0  
308	F                   70	119,0  	22,0  
309	M                   73	123,0  	27,0  
310	F                   76	118,0  	20,0  
311	M                   76	107,0  	18,0  
312	M                   66	123,0  	24,0  
313	F                   67	115,0  	21,0  
314	M                   72	118,0  	22,0  
315	F                   72	114,0  	20,0  
316	F                   74	123,0  	20,0  
317	M                   67	117,0  	22,0  
318	M                   73	117,0  	21,0  
319	M                   71	103,0  	15,0  
320	M                   70	112,0  	20,0  
321	F                   65	111,0  	18,0  
322	M                   69	114,0  	21,0  
323	M                   72	114,0  	19,0  
324	M                   67	107,0  	16,0  
325	M                   69	111,0  	22,0  
326	F                   73	115,0  	21,0  
327	M                   65	112,0  	20,0  
328	F                   65	109,0  	15,0  
329	F                   70	111,5  	19,0  
330	F                   74	115,0  	21,0  
331	F                   68	121,0  	24,0  
332	F                   68	118,0  	30,0  
333	M                   73	114,0  	22,0  
334	M                   66	119,0  	23,0  
335	M                   69	125,0  	27,0  
336	M                   67	105,0  	15,0  
337	M                   70	117,0  	20,0  
338	F                   67	107,0  	18,0  
339	M                   72	111,0  	18,0  
340	M                   67	109,0  	15,5  
341	M                   72	116,5  	18,0  
342	M                   73	117,0  	20,0  
343	M                   66	111,5  	15,5  
344	F                   72	109,5  	18,0  
345	F                   66	111,5  	20,0  
346	F                   76	119,5  	28,0  
347	F                   71	114,0  	18,0  
348	F                   69	116,5  	19,0  
349	F                   69	117,0  	21,0  
350	F                   74	121,0  	21,0  
351	F                   68	108,5  	19,0  
352	F                   71	112,5  	19,0  
353	F                   74	124,0  	27,0  
354	F                   75	116,0  	23,5  
355	F                   67	115,0  	21,5  
356	M                   76	121,5  	21,0  
357	M                   68	110,5  	18,0  
358	M                   69	122,0  	23,0  
359	M                   71	112,0  	18,0  
360	M                   67	122,5  	26,5  
361	M                   70	104,0  	15,0  
362	F                   66	114,0  	24,0  
363	F                   67	118,0  	23,0  
364	F                   72	114,0  	24,0  
365	F                   69	108,0  	19,0  
366	F                   75	119,0  	21,0  
367	F                   71	111,0  	24,0  
368	F                   67	108,0  	16,0  
369	F                   67	109,0  	19,0  
370	F                   67	104,0  	16,0  
371	M                   66	115,0  	20,0  
372	M                   70	115,0  	20,0  
373	M                   68	114,0  	19,0  
374	M                   72	121,0  	22,0  
375	M                   70	118,5  	22,0  
376	M                   67	113,0  	18,0  
377	M                   77	110,5  	19,0  
378	M                   67	117,0  	18,0  
379	M                   71	120,5  	21,0  
380	M                   74	101,5  	20,0  
381	F                   72	116,0  	25,0  
382	F                   63	121,5  	23,0  
383	F                   75	121,5  	21,0  
384	F                   61	110,0  	19,0  
385	F                   70	117,0  	20,0  
386	F                   70	111,0  	18,0  
387	F                   66	116,5  	21,0  
388	F                   68	113,5  	21,5  
389	F                   72	109,0  	19,0  
